"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Napoli";38;28;6;4;77;28;90;71.73;31.96;78.51
2;"Lazio";38;22;8;8;60;30;74;54.31;42.65;59.24
3;"Inter";38;23;3;12;71;42;72;71.97;36.05;76.37
4;"Juventus";38;22;6;10;56;33;72;59.74;40.98;64.38
5;"AC Milan";38;20;10;8;64;43;70;69.9;40.11;69.94
6;"Atalanta";38;19;7;12;66;48;64;60.49;45.01;61.74
7;"Roma";38;18;9;11;50;38;63;64.02;32.9;71.35
8;"Fiorentina";38;15;11;12;53;43;56;56.9;48.92;56.65
9;"Bologna";38;14;12;12;53;49;54;45.29;55.54;45.84
10;"Torino";38;14;11;13;42;41;53;47.32;39.99;56.38
11;"Monza";38;14;10;14;48;52;52;44.81;55.26;46.84
12;"Udinese";38;11;13;14;47;48;46;47.56;51.3;50.6
13;"Sassuolo";38;12;9;17;47;61;45;51.5;51.94;52.5
14;"Empoli";38;10;13;15;37;49;43;41.25;63.94;39.25
15;"Salernitana";38;9;15;14;48;62;42;35.44;72.61;30.67
16;"Lecce";38;8;12;18;33;46;36;36.93;43.47;47.2
17;"Verona";38;7;10;21;31;59;31;37.27;52.83;42
18;"Spezia";38;6;13;19;31;62;31;40.64;63.82;37.7
19;"Cremonese";38;5;12;21;36;69;27;36.59;69.55;32.56
20;"Sampdoria";38;3;10;25;24;71;19;35.1;69.92;31.37
