"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Napoli";38;24;10;4;59;27;82;57.05;31.55;70.98
2;"Inter";38;24;9;5;79;35;81;76.74;42.43;75.42
3;"Atalanta";38;22;8;8;78;37;74;79.87;42.32;75.23
4;"Juventus";38;18;16;4;58;35;70;58.12;35.36;69.51
5;"Roma";38;20;9;9;56;35;69;62.07;48.06;61.75
6;"Fiorentina";38;19;8;11;60;41;65;54.11;46.76;55.61
7;"Lazio";38;18;11;9;61;49;65;65.32;43.49;66.78
8;"AC Milan";38;18;9;11;61;43;63;69.51;47.27;68.4
9;"Bologna";38;16;14;8;57;47;62;57.18;41.38;61.82
10;"Como";38;13;10;15;49;52;49;49.76;50.11;51.39
11;"Torino";38;10;14;14;39;45;44;37.29;56.8;39
12;"Udinese";38;12;8;18;41;56;44;44.51;58.93;42.93
13;"Genoa";38;10;13;15;37;49;43;40.02;53.43;43.46
14;"Verona";38;10;7;21;34;66;37;37.32;60.54;36.63
15;"Parma Calcio 1913";38;7;15;16;44;58;36;47.95;66.01;42.92
16;"Cagliari";38;9;9;20;40;56;36;48.73;62.61;43.05
17;"Lecce";38;8;10;20;27;58;34;36.99;64.64;34.88
18;"Empoli";38;6;13;19;33;59;31;38.32;52.79;41.67
19;"Venezia";38;5;14;19;32;56;29;41.63;64.92;38.11
20;"Monza";38;3;9;26;28;69;18;32.12;65.23;30.81
