"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Inter";38;29;7;2;89;22;94;85.83;33.39;83.08
2;"AC Milan";38;22;9;7;76;49;75;71.86;47.73;69.35
3;"Juventus";38;19;14;5;54;31;71;63.48;31.77;74.64
4;"Atalanta";38;21;6;11;72;42;69;68.47;44.31;67.44
5;"Bologna";38;18;14;6;54;32;68;54.03;39.7;61.4
6;"Roma";38;18;9;11;65;46;63;56.92;47.03;59.25
7;"Lazio";38;18;7;13;49;39;61;51.39;45.26;57.78
8;"Fiorentina";38;17;9;12;61;46;60;58.11;54.97;55.76
9;"Napoli";38;13;14;11;55;48;53;68.49;41.89;68.28
10;"Torino";38;13;14;11;36;36;53;43.29;38.76;55.59
11;"Genoa";38;12;13;13;45;45;49;38.69;47.77;44.33
12;"Monza";38;11;12;15;39;51;45;45.55;63.83;40.52
13;"Verona";38;9;11;18;38;51;38;38.46;58.52;38.16
14;"Lecce";38;8;14;16;32;54;38;47.62;65.39;40.09
15;"Udinese";38;6;19;13;37;53;37;44.88;53.15;49.01
16;"Empoli";38;9;9;20;29;54;36;38.06;58.71;39.48
17;"Cagliari";38;8;12;18;42;68;36;45.44;62.56;41.04
18;"Frosinone";38;8;11;19;44;69;35;50.2;65.05;44.49
19;"Sassuolo";38;7;9;22;43;75;30;43.53;66.92;39.64
20;"Salernitana";38;2;11;25;32;81;17;31.45;79.03;22.68
