"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Inter";35;26;4;5;82;31;82;80.84;32.84;76.5
2;"Napoli";35;21;7;7;52;33;70;53.56;39.27;57.85
3;"AC Milan";35;19;10;6;48;29;67;59.21;39.41;60.88
4;"Juventus";35;18;11;6;58;30;65;67.7;34.05;68.32
5;"Como";35;17;11;7;59;28;62;61.5;36.79;62.33
6;"Roma";34;19;4;11;48;29;61;51.89;40.46;56.22
7;"Atalanta";35;14;13;8;47;32;55;64.58;47.2;60.46
8;"Bologna";35;14;7;14;42;41;49;46.26;47.62;47.86
9;"Sassuolo";35;14;7;14;43;44;49;41.74;55.19;42.13
10;"Lazio";34;12;12;10;37;33;48;42.9;43.78;44.06
11;"Udinese";35;13;8;14;43;46;47;44.19;53.22;43.28
12;"Parma Calcio 1913";35;10;12;13;25;42;42;33.52;54.99;35.64
13;"Torino";35;11;8;16;39;58;41;46.2;53.9;44.08
14;"Genoa";35;10;10;15;40;48;40;45.15;51.26;43.32
15;"Fiorentina";34;8;13;13;38;45;37;49.71;50.54;45.47
16;"Cagliari";35;9;10;16;36;49;37;36.97;54.96;37.09
17;"Lecce";35;8;8;19;24;47;32;33.11;59.01;32.76
18;"Cremonese";34;6;10;18;26;51;28;34.02;62.56;30.92
19;"Verona";35;3;11;21;24;57;20;34.59;48.12;39.09
20;"Pisa";35;2;12;21;25;63;18;40.27;62.75;36.69
